偏移	大小	类型	字符串
00000028	06	A	__TEXT
00000068	06	A	__text
00000078	06	A	__TEXT
000000b8	07	A	__stubs
000000c8	06	A	__TEXT
00000108	0d	A	__stub_helper
00000118	06	A	__TEXT
00000158	0f	A	__objc_methlist
00000168	06	A	__TEXT
000001a8	07	A	__const
000001b8	06	A	__TEXT
000001f8	16	A	__gcc_except_tab__TEXT
00000248	0f	A	__objc_methname
00000258	06	A	__TEXT
00000298	16	A	__objc_classname__TEXT
000002e8	0f	A	__objc_methtype
000002f8	06	A	__TEXT
00000338	0d	A	__oslogstring
00000348	06	A	__TEXT
00000388	09	A	__cstring
00000398	06	A	__TEXT
000003d8	0d	A	__unwind_info
000003e8	06	A	__TEXT
00000430	0c	A	__DATA_CONST
00000470	05	A	__got
00000480	0c	A	__DATA_CONST
000004c0	07	A	__const
000004d0	0c	A	__DATA_CONST
00000510	0a	A	__cfstring
00000520	0c	A	__DATA_CONST
00000560	1c	A	__objc_classlist__DATA_CONST
000005b0	0e	A	__objc_catlist
000005c0	0c	A	__DATA_CONST
00000600	1c	A	__objc_protolist__DATA_CONST
00000650	1c	A	__objc_imageinfo__DATA_CONST
000006a0	1c	A	__objc_arraydata__DATA_CONST
000006f0	0e	A	__objc_dictobj
00000700	0c	A	__DATA_CONST
00000740	0f	A	__objc_arrayobj
00000750	0c	A	__DATA_CONST
00000790	0d	A	__objc_intobj
000007a0	0c	A	__DATA_CONST
000007e8	06	A	__DATA
00000828	0f	A	__la_symbol_ptr
00000838	06	A	__DATA
00000878	0c	A	__objc_const
00000888	06	A	__DATA
000008c8	0e	A	__objc_selrefs
000008d8	06	A	__DATA
00000918	16	A	__objc_protorefs__DATA
00000968	16	A	__objc_classrefs__DATA
000009b8	16	A	__objc_superrefs__DATA
00000a08	0b	A	__objc_ivar
00000a18	06	A	__DATA
00000a58	0b	A	__objc_data
00000a68	06	A	__DATA
00000aa8	06	A	__data
00000ab8	06	A	__DATA
00000af8	05	A	__bss
00000b08	06	A	__DATA
00000b50	0a	A	__LINKEDIT
00000ba8	51	A	@rpath/DVTInstrumentsAnalysisCore.framework/Versions/A/DVTInstrumentsAnalysisCore
00000cf8	18	A	/usr/lib/libxml2.2.dylib
00000d30	15	A	/usr/lib/libz.1.dylib
00000d60	4b	A	@rpath/DVTInstrumentsUtilities.framework/Versions/A/DVTInstrumentsUtilities
00000dc8	45	A	/System/Library/Frameworks/Foundation.framework/Versions/C/Foundation
00000e28	18	A	/usr/lib/libobjc.A.dylib
00000e60	17	A	/usr/lib/libc++.1.dylib
00000e90	1a	A	/usr/lib/libSystem.B.dylib
00000ec8	4d	A	/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation
00000f24	16	A	@loader_path/../../../
00000f4c	25	A	@loader_path/../../../../Independence
00001e44	0a	A	AWAVAUATSH
00002200	0a	A	[A\A]A^A_]
00002354	0b	A	AWAVAUATSPI
00002464	0a	A	[A\A]A^A_]
00002544	0a	A	AWAVAUATSH
000026d3	0b	A	H[A\A]A^A_]
000027e4	0a	A	AWAVAUATSH
000029a3	09	A	u{H;O(u%H
000029da	06	A	H9>t!H
00002ac2	09	A	u|H;Z(u&H
00002afa	06	A	H9t!H
00002cd2	05	A	|$fE
00002d23	05	A	D$PI
00002dd4	05	A	D$hI
000032de	09	A	C@H;CHsH
00003321	05	A	\$H9
000033fb	05	A	fD;`
000035b6	0a	A	[A\A]A^A_]
00003864	0a	A	AWAVAUATSH
00003964	0b	A	[A\A]A^A_]
000039a4	07	A	AWAVSPH
000039ff	06	A	[A^A_]
00003af4	0a	A	AWAVAUATSH
00003d1b	0b	A	8[A\A]A^A_]
00003db4	0a	A	AWAVAUATSH
00003eff	0b	A	[A\A]A^A_]
00003f14	0a	A	AWAVAUATSH
00003f34	07	A	G H9GH
00003f59	05	A	H9G8v
00003f9f	07	A	K H+KH
00004141	05	A	(R fA
000044d7	06	A	(T9 fA
000044de	06	A	)T> fA
00004696	05	A	(R fA
00004cbb	06	A	(L fA
00004cc2	06	A	(T0fA
00004cc9	05	A	(\@f
00004ccf	05	A	)\0f
00004cd5	05	A	)T f
00004d45	05	A	(T8 f
00004d4b	05	A	(\80f
00004d5c	05	A	)T9 f
00004d62	05	A	)\90H
00004d89	05	A	(T0 f
00004d8f	05	A	(\00f
00004d95	05	A	)\10f
00004d9b	05	A	)T1 f
00004f0d	06	A	(T$ fA
00004f14	05	A	(\$0f
00004faa	06	A	(T$ fA
00004fb1	05	A	(\$0f
00005768	0a	A	[A\A]A^A_]
00005ae4	0a	A	AWAVAUATSH
00005b7f	09	A	SPINDEXvH
00005b99	05	A	tH3E
00005cf5	07	A	H;Cw,D
00005dd0	07	A	_ I;_(t
00005ece	0b	A	H[A\A]A^A_]
00006014	0a	A	AWAVAUATSH
0000615c	05	A	(N0D9
000061b6	05	A	@E9t$
000061e8	0b	A	8[A\A]A^A_]
00006324	08	A	AWAVATSI
00006446	08	A	[A\A^A_]
00006474	0a	A	AWAVAUATSH
00006615	0b	A	([A\A]A^A_]
00006977	07	A	M9v tAH
00006a2d	05	A	0[A^]
00006a54	0b	A	AWAVAUATSPI
00006bd9	0a	A	[A\A]A^A_]
00006c64	0b	A	AWAVAUATSPI
00006def	0a	A	[A\A]A^A_]
00006e02	0a	A	[A\A]A^A_]
00006ee4	08	A	AWAVATSI
00006fe1	0a	A	~([A\A^A_]
00006ff0	08	A	[A\A^A_]
00007014	08	A	AWAVATSI
00007099	08	A	[A\A^A_]
000070d4	0b	A	AWAVAUATSPI
000071b0	0a	A	[A\A]A^A_]
00007524	0b	A	AWAVAUATSPL
0000768e	06	A	MclPI
00007718	0a	A	[A\A]A^A_]
00007764	0a	A	AWAVAUATSH
000078a3	05	A	oJ E 
00007abb	05	A	8L 
00007c31	05	A	oH E 
00007feb	0b	A	X[A\A]A^A_]
00008154	0b	A	AWAVAUATSPI
000082cf	0a	A	[A\A]A^A_]
000082e2	0a	A	[A\A]A^A_]
00008534	0a	A	AWAVAUATSH
0000866b	0b	A	H[A\A]A^A_]
0000871b	05	A	D= H
00008767	0b	A	H[A\A]A^A_]
00008964	07	A	AWAVSPI
00008a0b	06	A	[A^A_]
00008a24	07	A	AWAVSPI
00008acb	06	A	[A^A_]
00008ae4	06	A	AWAVSH
00008ba0	07	A	[A^A_]
00008bcf	07	A	[A^A_]
00008be4	07	A	AWAVSPI
00008c99	06	A	[A^A_]
00008cc4	06	A	[A^A_]
00008cd4	07	A	AWAVSPI
00008d89	06	A	[A^A_]
00008db4	06	A	[A^A_]
00008dc4	06	A	AWAVSH
00008e80	07	A	[A^A_]
00008eaf	07	A	[A^A_]
00008ec4	07	A	AWAVSPI
00008f89	06	A	[A^A_]
00008f9a	06	A	[A^A_]
00008fb4	07	A	AWAVSPI
00009079	06	A	[A^A_]
0000908a	06	A	[A^A_]
000090a4	07	A	AWAVSPI
0000914b	06	A	[A^A_]
00009164	07	A	AWAVSPI
0000921e	06	A	[A^A_]
0000924a	06	A	[A^A_]
00009264	07	A	AWAVSPI
0000931e	06	A	[A^A_]
0000934a	06	A	[A^A_]
00009364	07	A	AWAVSPI
00009441	06	A	[A^A_]
00009454	07	A	AWAVSPI
000094fb	06	A	[A^A_]
00009514	07	A	AWAVSPI
000095bb	06	A	[A^A_]
000095d4	07	A	AWAVSPI
0000967b	06	A	[A^A_]
00009694	07	A	AWAVSPI
0000974b	06	A	[A^A_]
00009764	07	A	AWAVSPI
000097fc	06	A	[A^A_]
0000981c	06	A	[A^A_]
00009845	06	A	[A^A_]
00009874	07	A	AWAVSPI
0000990c	06	A	[A^A_]
0000992c	06	A	[A^A_]
00009955	06	A	[A^A_]
00009984	07	A	AWAVSPI
00009a1a	06	A	[A^A_]
00009a6a	06	A	[A^A_]
00009a84	07	A	AWAVSPI
00009b43	06	A	[A^A_]
00009b54	07	A	AWAVSPI
00009c39	06	A	[A^A_]
00009c4a	06	A	[A^A_]
00009c64	07	A	AWAVSPI
00009d54	06	A	[A^A_]
00009d65	06	A	[A^A_]
00009d74	07	A	AWAVSPI
00009e1a	06	A	[A^A_]
00009e65	06	A	[A^A_]
00009e74	07	A	AWAVSPI
00009f2e	06	A	[A^A_]
00009f6e	06	A	[A^A_]
00009f84	06	A	AWAVSH
0000a1ff	07	A	X[A^A_]
0000a214	07	A	AWAVSPI
0000a2bb	06	A	[A^A_]
0000a2d4	07	A	AWAVSPI
0000a36c	06	A	[A^A_]
0000a38c	06	A	[A^A_]
0000a3a3	06	A	[A^A_]
0000a3c4	07	A	AWAVSPI
0000a45c	06	A	[A^A_]
0000a47c	06	A	[A^A_]
0000a493	06	A	[A^A_]
0000a4b4	07	A	AWAVSPI
0000a55a	06	A	[A^A_]
0000a579	06	A	[A^A_]
0000a5b4	07	A	AWAVSPI
0000a65e	06	A	[A^A_]
0000a674	07	A	AWAVSPI
0000a71e	06	A	[A^A_]
0000a734	07	A	AWAVSPI
0000a7de	06	A	[A^A_]
0000a7f4	07	A	AWAVSPI
0000a89e	06	A	[A^A_]
0000a8b4	06	A	AWAVSH
0000aa47	07	A	X[A^A_]
0000ab04	08	A	AWAVATSI
0000abed	08	A	[A\A^A_]
0000ac04	08	A	AWAVATSI
0000aced	08	A	[A\A^A_]
0000ad04	08	A	AWAVATSI
0000aded	08	A	[A\A^A_]
0000ae04	0a	A	AWAVAUATSH
0000ae89	0b	A	[A\A]A^A_]
0000aec4	0b	A	AWAVAUATSPA
0000af57	0a	A	[A\A]A^A_]
0000afb4	06	A	AWAVSH
0000b030	07	A	[A^A_]
0000b074	06	A	AWAVSH
0000b19d	07	A	H[A^A_]
0000b224	0a	A	AWAVAUATSH
0000b809	0b	A	8[A\A]A^A_]
0000b874	0a	A	AWAVAUATSH
0000bc9c	0b	A	([A\A]A^A_]
0000bcf4	0b	A	AWAVAUATSPI
0000bd8a	0c	A	t\[A\A]A^A_]
0000bde8	0a	A	[A\A]A^A_]
0000c084	0b	A	AWAVAUATSPI
0000c3db	0a	A	[A\A]A^A_]
0000c404	0b	A	AWAVAUATSPD
0000c756	0a	A	[A\A]A^A_]
0000cc64	08	A	AWAVATSI
0000ccf0	08	A	[A\A^A_]
0000cd74	0b	A	AWAVAUATSPI
0000cf41	0a	A	[A\A]A^A_]
0000cf94	08	A	AWAVATSI
0000d020	08	A	[A\A^A_]
0000d124	0a	A	AWAVAUATSH
0000d438	0a	A	[A\A]A^A_]
0000d4a4	0b	A	AWAVAUATSPE
0000d5b0	0a	A	[A\A]A^A_]
0000d5e4	08	A	AWAVATSH
0000d670	05	A	H9H8t
0000d6b5	09	A	0[A\A^A_]
0000d704	0a	A	AWAVAUATSH
0000d87e	0b	A	8[A\A]A^A_]
0000d914	0b	A	AWAVAUATSPI
0000db6e	0a	A	[A\A]A^A_]
0000db84	0a	A	AWAVAUATSH
0000de15	07	A	H;BHt7L
0000e075	07	A	H;HHt7L
0000e25c	0b	A	8[A\A]A^A_]
0000e324	0a	A	AWAVAUATSH
0000e3df	05	A	<et~H
0000e4b0	05	A	I;GA
0000e5d1	0b	A	x[A\A]A^A_]
0000e5f4	08	A	AWAVATSH
0000e7ce	09	A	P[A\A^A_]
0000e7e4	06	A	AWAVSH
0000e844	07	A	[A^A_]
0000e854	0b	A	AWAVAUATSPI
0000e8ca	0a	A	[A\A]A^A_]
0000e8e4	0a	A	AWAVAUATSH
0000e9e6	0b	A	H[A\A]A^A_]
0000ea04	0b	A	AWAVAUATSPI
0000ea91	0a	A	[A\A]A^A_]
0000eb64	08	A	AWAVATSA
0000ebb2	08	A	[A\A^A_]
0000ecb4	0b	A	AWAVAUATSPD
0000ed25	0a	A	[A\A]A^A_]
0000ed54	08	A	AWAVATSA
0000ed9e	08	A	[A\A^A_]
0000eea4	08	A	AWAVATSA
0000eeee	08	A	[A\A^A_]
0000ef04	0b	A	AWAVAUATSPE
0000ef58	0a	A	[A\A]A^A_]
0000ef84	08	A	AWAVATSA
0000efce	08	A	[A\A^A_]
0000f114	0a	A	AWAVAUATSH
0000f593	0a	A	[A\A]A^A_]
0000f63f	05	A	I9Fpw
0000fa94	0a	A	AWAVAUATSH
0000fd3a	0b	A	([A\A]A^A_]
0000fd54	08	A	AWAVATSI
0000fe34	08	A	[A\A^A_]
00010004	0a	A	AWAVAUATSH
000106e7	0b	A	X[A\A]A^A_]
00010806	05	A	P[A^]
00010884	0a	A	AWAVAUATSH
00010b20	0b	A	h[A\A]A^A_]
00010d84	07	A	AWAVSPI
00010e80	06	A	[A^A_]
00010ed4	0b	A	AWAVAUATSPI
00010fdd	0a	A	[A\A]A^A_]
00011004	08	A	AWAVATSH
00011083	05	A	4$H9V
0001111f	09	A	0[A\A^A_]
00011244	06	A	AWAVSH
0001137b	05	A	PHH;V
0001141e	07	A	([A^A_]
00011454	08	A	AWAVATSH
00011633	09	A	0[A\A^A_]
00011658	05	A	RHH;V
00011734	0a	A	AWAVAUATSH
00011840	0b	A	X[A\A]A^A_]
00011ac2	0b	A	X[A\A]A^A_]
00011ad4	0a	A	AWAVAUATSH
00011e44	0b	A	H[A\A]A^A_]
00011e54	0a	A	AWAVAUATSH
000121b1	0a	A	[A\A]A^A_]
00012236	05	A	0[A^]
000122d2	05	A	H;CH
000122f4	0a	A	AWAVAUATSH
0001253d	0a	A	[A\A]A^A_]
0001262c	07	A	H;HHt<L
00012763	07	A	H;HHt+L
00012907	08	A	HL9!uB1
00012975	07	A	H;HHt%L
00012aaf	08	A	@L9 u(L
00012b14	0a	A	AWAVAUATSH
00012dc8	0b	A	X[A\A]A^A_]
00012de4	0a	A	AWAVAUATSH
00012edc	0b	A	X[A\A]A^A_]
00012f62	05	A	0[A^]
00012f74	0a	A	AWAVAUATSH
00013010	07	A	H;QHt%L
0001318e	05	A	S8H;U
0001329a	0b	A	X[A\A]A^A_]
0001338e	05	A	S8H;U
00013424	0a	A	AWAVAUATSH
000135ad	0a	A	[A\A]A^A_]
00013614	0a	A	AWAVAUATSH
000136e9	0b	A	X[A\A]A^A_]
00013704	0a	A	AWAVAUATSH
000137f0	0a	A	[A\A]A^A_]
000138a4	07	A	AWAVSPH
